Date,Title,Artist
29/03/1992,Don't Let the Sun Go Down on Me,George Michael et Elton John
05/04/1992,Don't Let the Sun Go Down on Me,George Michael et Elton John
12/04/1992,You,Ten Sharp
19/04/1992,You,Ten Sharp
26/04/1992,Joy,François Feldman
03/05/1992,Joy,François Feldman
10/05/1992,Joy,François Feldman
17/05/1992,Joy,François Feldman
24/05/1992,Joy,François Feldman
31/05/1992,Joy,François Feldman
07/06/1992,Joy,François Feldman
14/06/1992,Joy,François Feldman
21/06/1992,Smells Like Teen Spirit,Nirvana
28/06/1992,Smells Like Teen Spirit,Nirvana
05/07/1992,Smells Like Teen Spirit,Nirvana
12/07/1992,Smells Like Teen Spirit,Nirvana
19/07/1992,Le Chat,Pow woW
26/07/1992,Le Chat,Pow woW
02/08/1992,Le Chat,Pow woW
09/08/1992,Le Chat,Pow woW
16/08/1992,Le Chat,Pow woW
23/08/1992,Le Chat,Pow woW
30/08/1992,Le Chat,Pow woW
06/09/1992,Rhythm Is a Dancer,Snap!
13/09/1992,Rhythm Is a Dancer,Snap!
20/09/1992,Rhythm Is a Dancer,Snap!
27/09/1992,Rhythm Is a Dancer,Snap!
04/10/1992,Rhythm Is a Dancer,Snap!
11/10/1992,Rhythm Is a Dancer,Snap!
18/10/1992,Dur dur d'être bébé !,Jordy
25/10/1992,Dur dur d'être bébé !,Jordy
01/11/1992,Dur dur d'être bébé !,Jordy
08/11/1992,Dur dur d'être bébé !,Jordy
15/11/1992,Dur dur d'être bébé !,Jordy
22/11/1992,Dur dur d'être bébé !,Jordy
29/11/1992,Dur dur d'être bébé !,Jordy
06/12/1992,Dur dur d'être bébé !,Jordy
13/12/1992,Dur dur d'être bébé !,Jordy
20/12/1992,Dur dur d'être bébé !,Jordy
27/12/1992,Dur dur d'être bébé !,Jordy
03/01/1993,Dur dur d'être bébé !,Jordy
10/01/1993,Dur dur d'être bébé !,Jordy
17/01/1993,Dur dur d'être bébé !,Jordy
24/01/1993,Dur dur d'être bébé !,Jordy
31/01/1993,I Will Always Love You,Whitney Houston
07/02/1993,I Will Always Love You,Whitney Houston
14/02/1993,I Will Always Love You,Whitney Houston
21/02/1993,I Will Always Love You,Whitney Houston
28/02/1993,I Will Always Love You,Whitney Houston
07/03/1993,I Will Always Love You,Whitney Houston
14/03/1993,I Will Always Love You,Whitney Houston
21/03/1993,I Will Always Love You,Whitney Houston
28/03/1993,Alison,Jordy
04/04/1993,Alison,Jordy
11/04/1993,Alison,Jordy
18/04/1993,Alison,Jordy
25/04/1993,Alison,Jordy
02/05/1993,No Limit,2 Unlimited
09/05/1993,No Limit,2 Unlimited
16/05/1993,No Limit,2 Unlimited
23/05/1993,No Limit,2 Unlimited
30/05/1993,No Limit,2 UnlimitedEncores (EP)
06/06/1993,Encores (EP),Dire Straits
13/06/1993,Encores (EP),Dire Straits
20/06/1993,Encores (EP),Dire Straits
27/06/1993,Encores (EP),Dire Straits
04/07/1993,Encores (EP),Dire Straits
11/07/1993,Encores (EP),Dire Straits
18/07/1993,What Is Love,Haddaway
25/07/1993,What Is Love,Haddaway
01/08/1993,What Is Love,Haddaway
08/08/1993,What Is Love,Haddaway
15/08/1993,What Is Love,Haddaway
22/08/1993,Darla dirladada,G.O. Culture
29/08/1993,Darla dirladada,G.O. Culture
05/09/1993,Darla dirladada,G.O. Culture
12/09/1993,Darla dirladada,G.O. Culture
19/09/1993,Mets de l’huile,Regg'Lyss
26/09/1993,Darla dirladada,G.O. Culture
03/10/1993,Living on My Own,Freddie Mercury
10/10/1993,Living on My Own,Freddie Mercury
17/10/1993,Living on My Own,Freddie Mercury
24/10/1993,Mets de l’huile,Regg'Lyss
31/10/1993,Living on My Own,Freddie Mercury
07/11/1993,Living on My Own,Freddie Mercury
14/11/1993,Living on My Own,Freddie Mercury
21/11/1993,Living on My Own,Freddie Mercury
28/11/1993,Living on My Own,Freddie Mercury
05/12/1993,Living on My Own,Freddie Mercury
12/12/1993,Living on My Own,Freddie Mercury
19/12/1993,Living on My Own,Freddie Mercury
26/12/1993,Living on My Own,Freddie Mercury
02/01/1994,Living on My Own,Freddie Mercury
09/01/1994,Living on My Own,Freddie Mercury
16/01/1994,Please Forgive Me,Bryan Adams
23/01/1994,Living on My Own,Freddie Mercury
30/01/1994,Please Forgive Me,Bryan Adams
06/02/1994,Happy Nation,Ace of Base
13/02/1994,Foule sentimentale,Alain Souchon
20/02/1994,Happy Nation,Ace of Base
27/02/1994,Happy Nation,Ace of Base
06/03/1994,Happy Nation,Ace of Base
13/03/1994,Je danse le mia,IAM
20/03/1994,Je danse le mia,IAM
27/03/1994,Je danse le mia,IAM
03/04/1994,Je danse le mia,IAM
10/04/1994,Je danse le mia,IAM
17/04/1994,Streets of Philadelphia,Bruce Springsteen
24/04/1994,Streets of Philadelphia,Bruce Springsteen
01/05/1994,Streets of Philadelphia,Bruce Springsteen
08/05/1994,It's Alright,East 17
15/05/1994,Streets of Philadelphia,Bruce Springsteen
22/05/1994,Je danse le mia,IAM
29/05/1994,Je danse le mia,IAM
05/06/1994,Streets of Philadelphia,Bruce Springsteen
12/06/1994,Je danse le mia,IAM
19/06/1994,I Can See Clearly Now,Jimmy Cliff
26/06/1994,I Can See Clearly Now,Jimmy Cliff
03/07/1994,I Can See Clearly Now,Jimmy Cliff
10/07/1994,I Like to Move It,Reel 2 Real
17/07/1994,I Like to Move It,Reel 2 Real
24/07/1994,I Like to Move It,Reel 2 Real
31/07/1994,I Like to Move It,Reel 2 Real
07/08/1994,I Like to Move It,Reel 2 Real
14/08/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
21/08/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
28/08/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
04/09/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
11/09/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
18/09/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
25/09/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
02/10/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
09/10/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
16/10/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
23/10/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
30/10/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
06/11/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
13/11/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
20/11/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
27/11/1994,Seven seconds,Youssou N'Dour et Neneh Cherry
04/12/1994,Can You Feel the Love Tonight,Elton John
11/12/1994,Can You Feel the Love Tonight,Elton John
18/12/1994,Can You Feel the Love Tonight,Elton John
25/12/1994,Can You Feel the Love Tonight,Elton John
01/01/1995,Can You Feel the Love Tonight,Elton John
08/01/1995,Can You Feel the Love Tonight,Elton John
15/01/1995,Can You Feel the Love Tonight,Elton John
22/01/1995,Can You Feel the Love Tonight,Elton John
29/01/1995,Can You Feel the Love Tonight,Elton John
05/02/1995,Can You Feel the Love Tonight,Elton John
12/02/1995,Short Dick Man,20 Fingers et Gillette
19/02/1995,Short Dick Man,20 Fingers et Gillette
26/02/1995,Short Dick Man,20 Fingers et Gillette
05/03/1995,Zombie,The Cranberries
12/03/1995,Zombie,The Cranberries
19/03/1995,Zombie,The Cranberries
26/03/1995,Zombie,The Cranberries
02/04/1995,Zombie,The Cranberries
09/04/1995,Zombie,The Cranberries
16/04/1995,Zombie,The Cranberries
23/04/1995,Zombie,The Cranberries
30/04/1995,Zombie,The Cranberries
07/05/1995,Pour que tu m'aimes encore,Céline Dion
14/05/1995,Pour que tu m'aimes encore,Céline Dion
21/05/1995,Pour que tu m'aimes encore,Céline Dion
28/05/1995,Pour que tu m'aimes encore,Céline Dion
04/06/1995,Pour que tu m'aimes encore,Céline Dion
11/06/1995,Pour que tu m'aimes encore,Céline Dion
18/06/1995,Pour que tu m'aimes encore,Céline Dion
25/06/1995,Pour que tu m'aimes encore,Céline Dion
02/07/1995,Scatman (Ski Ba Bop Ba Dop Bop),John Scatman
09/07/1995,Pour que tu m'aimes encore,Céline Dion
16/07/1995,Pour que tu m'aimes encore,Céline Dion
23/07/1995,Pour que tu m'aimes encore,Céline Dion
30/07/1995,Pour que tu m'aimes encore,Céline Dion
06/08/1995,Yeha noha (souhaits de bonheur et de prospérité),Sacred Spirit
13/08/1995,Yeha noha (souhaits de bonheur et de prospérité),Sacred Spirit
20/08/1995,Yeha noha (souhaits de bonheur et de prospérité),Sacred Spirit
27/08/1995,Yeha noha (souhaits de bonheur et de prospérité),Sacred Spirit
03/09/1995,Yeha noha (souhaits de bonheur et de prospérité),Sacred Spirit
10/09/1995,Yeha noha (souhaits de bonheur et de prospérité),Sacred Spirit
17/09/1995,Scatman's World,John Scatman
24/09/1995,XXL,Mylène Farmer
01/10/1995,You Are Not Alone,Michael Jackson
08/10/1995,You Are Not Alone,Michael Jackson
15/10/1995,Je sais pas,Céline Dion
22/10/1995,Je sais pas,Céline Dion
29/10/1995,Je sais pas,Céline Dion
05/11/1995,Je sais pas,Céline Dion
12/11/1995,Je sais pas,Céline Dion
19/11/1995,Je sais pas,Céline Dion
26/11/1995,Je sais pas,Céline Dion
03/12/1995,Gangsta's Paradise,Coolio et L.V.
10/12/1995,Gangsta's Paradise,Coolio et L.V.
17/12/1995,Gangsta's Paradise,Coolio et L.V.
24/12/1995,Gangsta's Paradise,Coolio et L.V.
31/12/1995,Gangsta's Paradise,Coolio et L.V.
07/01/1996,Gangsta's Paradise,Coolio et L.V.
14/01/1996,Gangsta's Paradise,Coolio et L.V.
21/01/1996,Gangsta's Paradise,Coolio et L.V.
28/01/1996,Gangsta's Paradise,Coolio et L.V.
04/02/1996,Gangsta's Paradise,Coolio et L.V.
11/02/1996,Gangsta's Paradise,Coolio et L.V.
18/02/1996,Gangsta's Paradise,Coolio et L.V.
25/02/1996,Dieu m'a donné la foi,Ophélie Winter
03/03/1996,Gangsta's Paradise,Coolio et L.V.
10/03/1996,Spaceman,Babylon Zoo
17/03/1996,Soirée disco,Boris
24/03/1996,Children,Robert Miles
31/03/1996,Children,Robert Miles
07/04/1996,Children,Robert Miles
14/04/1996,Children,Robert Miles
21/04/1996,Children,Robert Miles
28/04/1996,Children,Robert Miles
05/05/1996,Children,Robert Miles
12/05/1996,Children,Robert Miles
19/05/1996,Children,Robert Miles
26/05/1996,Children,Robert Miles
02/06/1996,Children,Robert Miles
09/06/1996,X-Files theme,Mark Snow
16/06/1996,Macarena,Los del Río
23/06/1996,Macarena,Los del Río
30/06/1996,Macarena,Los del Río
07/07/1996,Macarena,Los del Río
14/07/1996,"Tic, tic tac",Carrapicho
21/07/1996,"Tic, tic tac",Carrapicho
28/07/1996,"Tic, tic tac",Carrapicho
04/08/1996,Macarena,Los del Río
11/08/1996,Macarena,Los del Río
18/08/1996,Macarena,Los del Río
25/08/1996,Killing Me Softly,The Fugees
01/09/1996,Killing Me Softly,The Fugees
08/09/1996,Killing Me Softly,The Fugees
15/09/1996,Killing Me Softly,The Fugees
22/09/1996,Killing Me Softly,The Fugees
29/09/1996,Wannabe,Spice Girls
06/10/1996,Wannabe,Spice Girls
13/10/1996,Wannabe,Spice Girls
20/10/1996,Aïcha,Khaled
27/10/1996,Freed from Desire,Gala
03/11/1996,Freed from Desire,Gala
10/11/1996,Freed from Desire,Gala
17/11/1996,Freed from Desire,Gala
24/11/1996,Freed from Desire,Gala
01/12/1996,Freed from Desire,Gala
08/12/1996,Freed from Desire,Gala
15/12/1996,Freed from Desire,Gala
22/12/1996,Freed from Desire,Gala
29/12/1996,Freed from Desire,Gala
05/01/1997,Freed from Desire,Gala
12/01/1997,Freed from Desire,Gala
19/01/1997,Freed from Desire,Gala
26/01/1997,Don't Cry for Me Argentina,Madonna
02/02/1997,Don't Cry for Me Argentina,Madonna
09/02/1997,Don't Cry for Me Argentina,Madonna
16/02/1997,Don't Cry for Me Argentina,Madonna
23/02/1997,Let a Boy Cry,Gala
02/03/1997,Con te partirò,Andrea Bocelli
09/03/1997,Let a Boy Cry,Gala
16/03/1997,Con te partirò,Andrea Bocelli
23/03/1997,Con te partirò,Andrea Bocelli
30/03/1997,Con te partirò,Andrea Bocelli
06/04/1997,Con te partirò,Andrea Bocelli
13/04/1997,María,Ricky Martin
20/04/1997,María,Ricky Martin
27/04/1997,María,Ricky Martin
04/05/1997,María,Ricky Martin
11/05/1997,María,Ricky Martin
18/05/1997,María,Ricky Martin
25/05/1997,María,Ricky Martin
01/06/1997,María,Ricky Martin
08/06/1997,María,Ricky Martin
15/06/1997,Alane,Wes
22/06/1997,Alane,Wes
29/06/1997,Alane,Wes
06/07/1997,Alane,Wes
13/07/1997,Alane,Wes
20/07/1997,Alane,Wes
27/07/1997,Alane,Wes
03/08/1997,Alane,Wes
10/08/1997,Alane,Wes
17/08/1997,Alane,Wes
24/08/1997,Men in Black,Will Smith
31/08/1997,Men in Black,Will Smith
07/09/1997,Men in Black,Will Smith
14/09/1997,Candle in the Wind 1997,Elton John
21/09/1997,Candle in the Wind 1997,Elton John
28/09/1997,Candle in the Wind 1997,Elton John
05/10/1997,Candle in the Wind 1997,Elton John
12/10/1997,Candle in the Wind 1997,Elton John
19/10/1997,Candle in the Wind 1997,Elton John
26/10/1997,Savoir aimer,Florent Pagny
02/11/1997,Barbie Girl,Aqua
09/11/1997,Savoir aimer,Florent Pagny
16/11/1997,Savoir aimer,Florent Pagny
23/11/1997,Savoir aimer,Florent Pagny
30/11/1997,Savoir aimer,Florent Pagny
07/12/1997,Savoir aimer,Florent Pagny
14/12/1997,Savoir aimer,Florent Pagny
21/12/1997,Savoir aimer,Florent Pagny
28/12/1997,Savoir aimer,Florent Pagny
04/01/1998,Vivo per lei (je vis pour elle),Andrea Bocelli et Hélène Ségara
11/01/1998,Vivo per lei (je vis pour elle),Andrea Bocelli et Hélène Ségara
18/01/1998,Vivo per lei (je vis pour elle),Andrea Bocelli et Hélène Ségara
25/01/1998,Vivo per lei (je vis pour elle),Andrea Bocelli et Hélène Ségara
01/02/1998,Vivo per lei (je vis pour elle),Andrea Bocelli et Hélène Ségara
08/02/1998,My Heart Will Go On,Céline Dion
15/02/1998,My Heart Will Go On,Céline Dion
22/02/1998,My Heart Will Go On,Céline Dion
01/03/1998,My Heart Will Go On,Céline Dion
08/03/1998,My Heart Will Go On,Céline Dion
15/03/1998,My Heart Will Go On,Céline Dion
22/03/1998,My Heart Will Go On,Céline Dion
29/03/1998,My Heart Will Go On,Céline Dion
05/04/1998,My Heart Will Go On,Céline Dion
12/04/1998,My Heart Will Go On,Céline Dion
19/04/1998,My Heart Will Go On,Céline Dion
26/04/1998,My Heart Will Go On,Céline Dion
03/05/1998,My Heart Will Go On,Céline Dion
10/05/1998,La copa de la vida,Ricky Martin
17/05/1998,La copa de la vida,Ricky Martin
24/05/1998,La copa de la vida,Ricky Martin
31/05/1998,La copa de la vida,Ricky Martin
07/06/1998,La copa de la vida,Ricky Martin
14/06/1998,La copa de la vida,Ricky Martin
21/06/1998,La Tribu de Dana,Manau
28/06/1998,La Tribu de Dana,Manau
05/07/1998,La Tribu de Dana,Manau
12/07/1998,La Tribu de Dana,Manau
19/07/1998,La Tribu de Dana,Manau
26/07/1998,La Tribu de Dana,Manau
02/08/1998,La Tribu de Dana,Manau
09/08/1998,La Tribu de Dana,Manau
16/08/1998,La Tribu de Dana,Manau
23/08/1998,La Tribu de Dana,Manau
30/08/1998,La Tribu de Dana,Manau
06/09/1998,La Tribu de Dana,Manau
13/09/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
20/09/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
27/09/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
04/10/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
11/10/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
18/10/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
25/10/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
01/11/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
08/11/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
15/11/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
22/11/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
29/11/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
06/12/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
13/12/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
20/12/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
27/12/1998,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
03/01/1999,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
10/01/1999,Belle,"Garou, Patrick Fiori et Daniel Lavoie"
17/01/1999,Mais qui est la belette ?,Manau
24/01/1999,Believe,Cher
31/01/1999,Tu m'oublieras,Larusso
07/02/1999,Tu m'oublieras,Larusso
14/02/1999,Tu m'oublieras,Larusso
21/02/1999,Tu m'oublieras,Larusso
28/02/1999,Tu m'oublieras,Larusso
07/03/1999,Tu m'oublieras,Larusso
14/03/1999,Tu m'oublieras,Larusso
21/03/1999,Tu m'oublieras,Larusso
28/03/1999,Tu m'oublieras,Larusso
04/04/1999,Tu m'oublieras,Larusso
11/04/1999,Tu m'oublieras,Larusso
18/04/1999,Tu m'oublieras,Larusso
25/04/1999,...Baby One More Time,Britney Spears
02/05/1999,...Baby One More Time,Britney Spears
09/05/1999,Au nom de la rose,Moos
16/05/1999,Au nom de la rose,Moos
23/05/1999,Au nom de la rose,Moos
30/05/1999,Au nom de la rose,Moos
06/06/1999,Au nom de la rose,Moos
13/06/1999,Au nom de la rose,Moos
20/06/1999,Au nom de la rose,Moos
27/06/1999,Au nom de la rose,Moos
04/07/1999,Au nom de la rose,Moos
11/07/1999,Tu ne m'as pas laissé le temps,David Hallyday
18/07/1999,Tomber la chemise,Zebda
25/07/1999,Tomber la chemise,Zebda
01/08/1999,Tomber la chemise,Zebda
08/08/1999,Blue (Da Ba Dee),Eiffel 65
15/08/1999,Blue (Da Ba Dee),Eiffel 65
22/08/1999,Blue (Da Ba Dee),Eiffel 65
29/08/1999,Mambo No. 5 (a little bit of…),Lou Bega
05/09/1999,Mambo No. 5 (a little bit of…),Lou Bega
12/09/1999,Mambo No. 5 (a little bit of…),Lou Bega
19/09/1999,Mambo No. 5 (a little bit of…),Lou Bega
26/09/1999,Mambo No. 5 (a little bit of…),Lou Bega
03/10/1999,Mambo No. 5 (a little bit of…),Lou Bega
10/10/1999,Mambo No. 5 (a little bit of…),Lou Bega
17/10/1999,Mambo No. 5 (a little bit of…),Lou Bega
24/10/1999,Mambo No. 5 (a little bit of…),Lou Bega
31/10/1999,Mambo No. 5 (a little bit of…),Lou Bega
07/11/1999,Mambo No. 5 (a little bit of…),Lou Bega
14/11/1999,Mambo No. 5 (a little bit of…),Lou Bega
21/11/1999,Mambo No. 5 (a little bit of…),Lou Bega
28/11/1999,Mambo No. 5 (a little bit of…),Lou Bega
05/12/1999,Mambo No. 5 (a little bit of…),Lou Bega
12/12/1999,Mambo No. 5 (a little bit of…),Lou Bega
19/12/1999,Mambo No. 5 (a little bit of…),Lou Bega
26/12/1999,Mambo No. 5 (a little bit of…),Lou Bega
02/01/2000,Mambo No. 5 (a little bit of…),Lou Bega
09/01/2000,Mambo No. 5 (a little bit of…),Lou Bega
16/01/2000,Move Your Body,Eiffel 65
23/01/2000,Move Your Body,Eiffel 65
30/01/2000,Il y a trop de gens qui t'aiment,Hélène Ségara
06/02/2000,Move Your Body,Eiffel 65
13/02/2000,Move Your Body,Eiffel 65
20/02/2000,Il y a trop de gens qui t'aiment,Hélène Ségara
27/02/2000,Sex Bomb,Tom Jones et Mousse T.
05/03/2000,Sex Bomb,Tom Jones et Mousse T.
12/03/2000,Sex Bomb,Tom Jones et Mousse T.
19/03/2000,Sex Bomb,Tom Jones et Mousse T.
26/03/2000,Sex Bomb,Tom Jones et Mousse T.
02/04/2000,Sex Bomb,Tom Jones et Mousse T.
09/04/2000,Sex Bomb,Tom Jones et Mousse T.
16/04/2000,Ces soirées-là,Yannick
23/04/2000,Ces soirées-là,Yannick
30/04/2000,Ces soirées-là,Yannick
07/05/2000,Ces soirées-là,Yannick
14/05/2000,Ces soirées-là,Yannick
21/05/2000,Ces soirées-là,Yannick
28/05/2000,Ces soirées-là,Yannick
04/06/2000,Ces soirées-là,Yannick
11/06/2000,Ces soirées-là,Yannick
18/06/2000,Ces soirées-là,Yannick
25/06/2000,Ces soirées-là,Yannick
02/07/2000,Ces soirées-là,Yannick
09/07/2000,Ces soirées-là,Yannick
16/07/2000,Ces soirées-là,Yannick
23/07/2000,Ces soirées-là,Yannick
